transaction_id,date,description,category,amount_lkr,transaction_type,notes
TXN0051,2026-01-08,Grab / PickMe — Staff Transport,Transport,-2364.77,Debit,Petty cash expense
TXN0065,2026-01-08,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-7963.73,Debit,Petty cash fund replenishment
TXN0083,2026-01-08,Printcare PLC — Stationery Order,Office Supplies,-22120.46,Debit,Vendor invoice payment
TXN0015,2026-01-09,Staff Overtime Meal Allowance,Meals & Entertainment,-3311.5,Debit,Petty cash expense
TXN0039,2026-01-09,Team Lunch — Client Meeting,Meals & Entertainment,-4921.38,Debit,Petty cash expense
TXN0071,2026-01-09,Overpayment Refund — SLT,Refunds,6973.41,Credit,Miscellaneous income
TXN0078,2026-01-09,Fuel — Company Vehicle,Transport,-7726.74,Debit,Company vehicle fuel top-up
TXN0086,2026-01-09,Printcare PLC — Stationery Order,Office Supplies,-18860.34,Debit,Vendor invoice payment
TXN0009,2026-01-10,Lanka Electricity Board — Office Bill,Electricity Bill,-32459.89,Debit,Monthly electricity consumption
TXN0052,2026-01-10,Photocopy & Binding — Reports,Office Supplies,-1802.59,Debit,Petty cash expense
TXN0057,2026-01-10,Freelancer Payment — Nimali Fernando,Freelancer Fees,-49454.52,Debit,Contract work — Nimali Fernando
TXN0058,2026-01-10,Freelancer Payment — Shanuki Rathnayake,Freelancer Fees,-47651.25,Debit,Contract work — Shanuki Rathnayake
TXN0067,2026-01-10,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-23974.38,Debit,Petty cash fund replenishment
TXN0084,2026-01-10,Printcare PLC — Stationery Order,Office Supplies,-16838.13,Debit,Vendor invoice payment
TXN0073,2026-01-11,Fuel — Company Vehicle,Transport,-3923.74,Debit,Company vehicle fuel top-up
TXN0010,2026-01-12,SLT Fiber — Office Broadband (1Gbps),Internet Bill,-8672.08,Debit,Monthly ISP subscription
TXN0040,2026-01-12,Courier — Document Delivery,Logistics,-1108.64,Debit,Petty cash expense
TXN0054,2026-01-12,Freelancer Payment — Ravindu Silva,Freelancer Fees,-71823.95,Debit,Contract work — Ravindu Silva
TXN0068,2026-01-12,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-18831.53,Debit,Petty cash fund replenishment
TXN0004,2026-01-13,Invoice Payment — Hatton National Bank,Sales Revenue,153011.94,Credit,Project milestone payment from Hatton National Bank
TXN0031,2026-01-13,Staff Overtime Meal Allowance,Meals & Entertainment,-2842.18,Debit,Petty cash expense
TXN0074,2026-01-13,Fuel — Company Vehicle,Transport,-10985.02,Debit,Company vehicle fuel top-up
TXN0018,2026-01-14,Photocopy & Binding — Reports,Office Supplies,-2068.19,Debit,Petty cash expense
TXN0081,2026-01-14,Keells Super — Office Pantry,Petty Cash,-5454.31,Debit,Vendor invoice payment
TXN0087,2026-01-14,DIMO — Vehicle Service,Transport,-39601.48,Debit,Vendor invoice payment
TXN0012,2026-01-15,Lanka Advertising Agency — Digital Campaign,Marketing,-60800.04,Debit,Online ads & social media campaign — month 1
TXN0014,2026-01-15,Bank of Ceylon — Business Loan Disbursement,Bank Loan,3600000,Credit,3-year business expansion loan @ 14% p.a.
TXN0026,2026-01-15,Printer Ink & Paper Restock,Office Supplies,-6483.31,Debit,Petty cash expense
TXN0066,2026-01-15,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-14353.27,Debit,Petty cash fund replenishment
TXN0002,2026-01-16,Invoice Payment — John Keells Holdings,Sales Revenue,114712.83,Credit,Project milestone payment from John Keells Holdings
TXN0034,2026-01-16,Tea/Coffee & Office Refreshments,Petty Cash,-2076.22,Debit,Petty cash expense
TXN0011,2026-01-17,CloudHosting.lk — Server & Hosting,Cloud & Software,-65295.49,Debit,Monthly cloud infrastructure
TXN0045,2026-01-17,Printer Ink & Paper Restock,Office Supplies,-6647.69,Debit,Petty cash expense
TXN0053,2026-01-17,Freelancer Payment — Ravindu Silva,Freelancer Fees,-31465.32,Debit,Contract work — Ravindu Silva
TXN0016,2026-01-18,Team Lunch — Client Meeting,Meals & Entertainment,-8190.06,Debit,Petty cash expense
TXN0020,2026-01-18,Parking Fee — Colombo Office,Transport,-670.27,Debit,Petty cash expense
TXN0076,2026-01-18,Fuel — Company Vehicle,Transport,-4766.55,Debit,Company vehicle fuel top-up
TXN0082,2026-01-18,Abans PLC — IT Equipment Maintenance,Equipment Maintenance,-46900.0,Debit,Vendor invoice payment
TXN0013,2026-01-19,Office Mart Colombo — Stationery & Equipment,Office Supplies,-7992.64,Debit,Office consumables and equipment
TXN0035,2026-01-19,Tea/Coffee & Office Refreshments,Petty Cash,-911.56,Debit,Petty cash expense
TXN0064,2026-01-19,Sampath Bank — Monthly Account Maintenance,Bank Charges,-2308.81,Debit,Monthly bank service charge
TXN0005,2026-01-20,Invoice Payment — Ceylinco Insurance,Sales Revenue,220989.69,Credit,Project milestone payment from Ceylinco Insurance
TXN0027,2026-01-20,Grab / PickMe — Staff Transport,Transport,-3927.77,Debit,Petty cash expense
TXN0069,2026-01-21,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-6497.47,Debit,Petty cash fund replenishment
TXN0059,2026-01-22,Freelancer Payment — Tharushi Jayasinghe,Freelancer Fees,-56510.53,Debit,Contract work — Tharushi Jayasinghe
TXN0085,2026-01-23,Dialog — Mobile Bills (Staff),Telephone,-17983.77,Debit,Vendor invoice payment
TXN0003,2026-01-24,Invoice Payment — SLT-Mobitel,Sales Revenue,230393.47,Credit,Project milestone payment from SLT-Mobitel
TXN0023,2026-01-24,Printer Ink & Paper Restock,Office Supplies,-7995.51,Debit,Petty cash expense
TXN0029,2026-01-24,Courier — Document Delivery,Logistics,-994.27,Debit,Petty cash expense
TXN0007,2026-01-25,Staff Salaries — 12 Employees,Salaries,-1006727.88,Debit,Monthly payroll run
TXN0030,2026-01-25,Grab / PickMe — Staff Transport,Transport,-4826.32,Debit,Petty cash expense
TXN0036,2026-01-25,Courier — Document Delivery,Logistics,-738.45,Debit,Petty cash expense
TXN0044,2026-01-25,Team Lunch — Client Meeting,Meals & Entertainment,-9680.98,Debit,Petty cash expense
TXN0006,2026-01-26,Invoice Payment — Aitken Spence,Sales Revenue,350852.57,Credit,Project milestone payment from Aitken Spence
TXN0022,2026-01-26,Grab / PickMe — Staff Transport,Transport,-2367.97,Debit,Petty cash expense
TXN0041,2026-01-26,Parking Fee — Colombo Office,Transport,-241.39,Debit,Petty cash expense
TXN0055,2026-01-26,Freelancer Payment — Ravindu Silva,Freelancer Fees,-94849.99,Debit,Contract work — Ravindu Silva
TXN0032,2026-01-27,Tea/Coffee & Office Refreshments,Petty Cash,-2465.62,Debit,Petty cash expense
TXN0047,2026-01-27,Photocopy & Binding — Reports,Office Supplies,-522.74,Debit,Petty cash expense
TXN0033,2026-01-28,Courier — Document Delivery,Logistics,-1068.62,Debit,Petty cash expense
TXN0043,2026-01-28,Grab / PickMe — Staff Transport,Transport,-2545.26,Debit,Petty cash expense
TXN0048,2026-01-28,Photocopy & Binding — Reports,Office Supplies,-2227.09,Debit,Petty cash expense
TXN0056,2026-01-28,Freelancer Payment — Shanuki Rathnayake,Freelancer Fees,-49127.6,Debit,Contract work — Shanuki Rathnayake
TXN0028,2026-01-29,Staff Overtime Meal Allowance,Meals & Entertainment,-3427.79,Debit,Petty cash expense
TXN0024,2026-01-30,Grab / PickMe — Staff Transport,Transport,-4857.68,Debit,Petty cash expense
TXN0070,2026-01-30,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-22762.4,Debit,Petty cash fund replenishment
TXN0019,2026-01-31,Team Lunch — Client Meeting,Meals & Entertainment,-4991.35,Debit,Petty cash expense
TXN0037,2026-01-31,Tea/Coffee & Office Refreshments,Petty Cash,-1960.09,Debit,Petty cash expense
TXN0095,2026-02-01,"Office Rent — Colombo 3, Level 4",Rent,-118058.03,Debit,Monthly office lease payment
TXN0130,2026-02-01,Photocopy & Binding — Reports,Office Supplies,-1581.38,Debit,Petty cash expense
TXN0146,2026-02-01,Monthly Retainer — Dialog Axiata PLC,Retainer Fee,88164.26,Credit,Fixed monthly support retainer from Dialog Axiata PLC
TXN0147,2026-02-01,Monthly Retainer — Sampath Bank,Retainer Fee,132822.49,Credit,Fixed monthly support retainer from Sampath Bank
TXN0148,2026-02-01,Monthly Retainer — MAS Holdings,Retainer Fee,116094.99,Credit,Fixed monthly support retainer from MAS Holdings
TXN0149,2026-02-01,Monthly Retainer — SLT-Mobitel,Retainer Fee,130128.85,Credit,Fixed monthly support retainer from SLT-Mobitel
TXN0158,2026-02-01,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-24221.22,Debit,Petty cash fund replenishment
TXN0123,2026-02-02,Courier — Document Delivery,Logistics,-378.67,Debit,Petty cash expense
TXN0152,2026-02-02,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-14481.44,Debit,Petty cash fund replenishment
TXN0125,2026-02-03,Parking Fee — Colombo Office,Transport,-213.99,Debit,Petty cash expense
TXN0132,2026-02-03,Staff Overtime Meal Allowance,Meals & Entertainment,-3332.96,Debit,Petty cash expense
TXN0112,2026-02-04,Grab / PickMe — Staff Transport,Transport,-3726.04,Debit,Petty cash expense
TXN0127,2026-02-04,Photocopy & Binding — Reports,Office Supplies,-1694.89,Debit,Petty cash expense
TXN0161,2026-02-04,Fuel — Company Vehicle,Transport,-4752.26,Debit,Company vehicle fuel top-up
TXN0101,2026-02-05,Bank of Ceylon — Business Loan EMI,Loan Repayment,-75000,Debit,Monthly EMI for LKR 3.6M business loan
TXN0107,2026-02-05,Grab / PickMe — Staff Transport,Transport,-3885.05,Debit,Petty cash expense
TXN0137,2026-02-05,Parking Fee — Colombo Office,Transport,-587.55,Debit,Petty cash expense
TXN0128,2026-02-06,Tea/Coffee & Office Refreshments,Petty Cash,-1678.85,Debit,Petty cash expense
TXN0092,2026-02-07,Invoice Payment — Dipped Products,Sales Revenue,226183.23,Credit,Project milestone payment from Dipped Products
TXN0103,2026-02-07,Tea/Coffee & Office Refreshments,Petty Cash,-2255.44,Debit,Petty cash expense
TXN0131,2026-02-07,Team Lunch — Client Meeting,Meals & Entertainment,-8881.62,Debit,Petty cash expense
TXN0160,2026-02-07,Fuel — Company Vehicle,Transport,-10818.23,Debit,Company vehicle fuel top-up
TXN0109,2026-02-08,Tea/Coffee & Office Refreshments,Petty Cash,-1114.87,Debit,Petty cash expense
TXN0116,2026-02-08,Parking Fee — Colombo Office,Transport,-392.85,Debit,Petty cash expense
TXN0153,2026-02-08,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-22969.7,Debit,Petty cash fund replenishment
TXN0156,2026-02-08,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-8546.64,Debit,Petty cash fund replenishment
TXN0157,2026-02-08,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-24950.85,Debit,Petty cash fund replenishment
TXN0171,2026-02-08,Keells Super — Office Pantry,Petty Cash,-3337.95,Debit,Vendor invoice payment
TXN0099,2026-02-09,Lanka Advertising Agency — Digital Campaign,Marketing,-32600.97,Debit,Online ads & social media campaign — month 2
TXN0119,2026-02-09,Parking Fee — Colombo Office,Transport,-455.48,Debit,Petty cash expense
TXN0120,2026-02-09,Printer Ink & Paper Restock,Office Supplies,-2471.4,Debit,Petty cash expense
TXN0093,2026-02-10,Invoice Payment — Hatton National Bank,Sales Revenue,132526.06,Credit,Project milestone payment from Hatton National Bank
TXN0096,2026-02-10,Lanka Electricity Board — Office Bill,Electricity Bill,-23063.13,Debit,Monthly electricity consumption
TXN0139,2026-02-10,Parking Fee — Colombo Office,Transport,-637.35,Debit,Petty cash expense
TXN0166,2026-02-10,Fuel — Company Vehicle,Transport,-9977.03,Debit,Company vehicle fuel top-up
TXN0089,2026-02-11,Invoice Payment — Access Engineering,Sales Revenue,132520.47,Credit,Project milestone payment from Access Engineering
TXN0104,2026-02-11,Courier — Document Delivery,Logistics,-1076.09,Debit,Petty cash expense
TXN0106,2026-02-11,Tea/Coffee & Office Refreshments,Petty Cash,-2293.79,Debit,Petty cash expense
TXN0124,2026-02-11,Parking Fee — Colombo Office,Transport,-457.35,Debit,Petty cash expense
TXN0097,2026-02-12,SLT Fiber — Office Broadband (1Gbps),Internet Bill,-8775.84,Debit,Monthly ISP subscription
TXN0114,2026-02-12,Team Lunch — Client Meeting,Meals & Entertainment,-9737.31,Debit,Petty cash expense
TXN0159,2026-02-12,Fuel — Company Vehicle,Transport,-10577.51,Debit,Company vehicle fuel top-up
TXN0105,2026-02-13,Staff Overtime Meal Allowance,Meals & Entertainment,-5760.74,Debit,Petty cash expense
TXN0136,2026-02-13,Tea/Coffee & Office Refreshments,Petty Cash,-1115.58,Debit,Petty cash expense
TXN0155,2026-02-13,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-8182.41,Debit,Petty cash fund replenishment
TXN0170,2026-02-13,DIMO — Vehicle Service,Transport,-23268.0,Debit,Vendor invoice payment
TXN0098,2026-02-14,CloudHosting.lk — Server & Hosting,Cloud & Software,-41998.69,Debit,Monthly cloud infrastructure
TXN0100,2026-02-16,Office Mart Colombo — Stationery & Equipment,Office Supplies,-19703.08,Debit,Office consumables and equipment
TXN0113,2026-02-16,Grab / PickMe — Staff Transport,Transport,-3456.69,Debit,Petty cash expense
TXN0141,2026-02-16,Freelancer Payment — Shanuki Rathnayake,Freelancer Fees,-109997.99,Debit,Contract work — Shanuki Rathnayake
TXN0111,2026-02-17,Printer Ink & Paper Restock,Office Supplies,-6056.15,Debit,Petty cash expense
TXN0135,2026-02-17,Grab / PickMe — Staff Transport,Transport,-4971.18,Debit,Petty cash expense
TXN0090,2026-02-18,Invoice Payment — Browns & Company,Sales Revenue,243481.85,Credit,Project milestone payment from Browns & Company
TXN0121,2026-02-18,Staff Overtime Meal Allowance,Meals & Entertainment,-3339.1,Debit,Petty cash expense
TXN0133,2026-02-18,Printer Ink & Paper Restock,Office Supplies,-4872.38,Debit,Petty cash expense
TXN0154,2026-02-19,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-12278.5,Debit,Petty cash fund replenishment
TXN0165,2026-02-19,Fuel — Company Vehicle,Transport,-7120.21,Debit,Company vehicle fuel top-up
TXN0088,2026-02-20,Invoice Payment — Hayleys PLC,Sales Revenue,117968.95,Credit,Project milestone payment from Hayleys PLC
TXN0091,2026-02-21,Invoice Payment — Local Startup B,Sales Revenue,150345.94,Credit,Project milestone payment from Local Startup B
TXN0145,2026-02-21,Freelancer Payment — Tharushi Jayasinghe,Freelancer Fees,-28895.05,Debit,Contract work — Tharushi Jayasinghe
TXN0169,2026-02-21,Dialog — Mobile Bills (Staff),Telephone,-19260.89,Debit,Vendor invoice payment
TXN0117,2026-02-22,Printer Ink & Paper Restock,Office Supplies,-4557.59,Debit,Petty cash expense
TXN0138,2026-02-23,Staff Overtime Meal Allowance,Meals & Entertainment,-1568.8,Debit,Petty cash expense
TXN0151,2026-02-23,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-19178.91,Debit,Petty cash fund replenishment
TXN0164,2026-02-23,Fuel — Company Vehicle,Transport,-8842.18,Debit,Company vehicle fuel top-up
TXN0167,2026-02-23,Dialog — Mobile Bills (Staff),Telephone,-9419.55,Debit,Vendor invoice payment
TXN0115,2026-02-24,Courier — Document Delivery,Logistics,-708.56,Debit,Petty cash expense
TXN0168,2026-02-24,Printcare PLC — Stationery Order,Office Supplies,-39095.88,Debit,Vendor invoice payment
TXN0094,2026-02-25,Staff Salaries — 12 Employees,Salaries,-1020181.93,Debit,Monthly payroll run
TXN0122,2026-02-25,Tea/Coffee & Office Refreshments,Petty Cash,-2343.06,Debit,Petty cash expense
TXN0126,2026-02-25,Parking Fee — Colombo Office,Transport,-277.24,Debit,Petty cash expense
TXN0150,2026-02-25,Sampath Bank — Monthly Account Maintenance,Bank Charges,-2385.17,Debit,Monthly bank service charge
TXN0110,2026-02-26,Team Lunch — Client Meeting,Meals & Entertainment,-11758.88,Debit,Petty cash expense
TXN0134,2026-02-26,Printer Ink & Paper Restock,Office Supplies,-3326.59,Debit,Petty cash expense
TXN0142,2026-02-26,Freelancer Payment — Shanuki Rathnayake,Freelancer Fees,-62859.35,Debit,Contract work — Shanuki Rathnayake
TXN0143,2026-02-26,Freelancer Payment — Tharushi Jayasinghe,Freelancer Fees,-31392.13,Debit,Contract work — Tharushi Jayasinghe
TXN0102,2026-02-27,Photocopy & Binding — Reports,Office Supplies,-1238.18,Debit,Petty cash expense
TXN0108,2026-02-27,Parking Fee — Colombo Office,Transport,-381.42,Debit,Petty cash expense
TXN0118,2026-02-27,Tea/Coffee & Office Refreshments,Petty Cash,-1985.66,Debit,Petty cash expense
TXN0140,2026-02-27,Parking Fee — Colombo Office,Transport,-508.14,Debit,Petty cash expense
TXN0144,2026-02-27,Freelancer Payment — Ravindu Silva,Freelancer Fees,-102365.37,Debit,Contract work — Ravindu Silva
TXN0129,2026-02-28,Staff Overtime Meal Allowance,Meals & Entertainment,-3131.09,Debit,Petty cash expense
TXN0162,2026-02-28,Fuel — Company Vehicle,Transport,-11702.41,Debit,Company vehicle fuel top-up
TXN0163,2026-02-28,Fuel — Company Vehicle,Transport,-5967.79,Debit,Company vehicle fuel top-up
TXN0177,2026-03-01,"Office Rent — Colombo 3, Level 4",Rent,-120065.39,Debit,Monthly office lease payment
TXN0211,2026-03-01,Photocopy & Binding — Reports,Office Supplies,-1083.83,Debit,Petty cash expense
TXN0231,2026-03-01,Monthly Retainer — Dialog Axiata PLC,Retainer Fee,134337.46,Credit,Fixed monthly support retainer from Dialog Axiata PLC
TXN0232,2026-03-01,Monthly Retainer — Sampath Bank,Retainer Fee,69014.29,Credit,Fixed monthly support retainer from Sampath Bank
TXN0233,2026-03-01,Monthly Retainer — MAS Holdings,Retainer Fee,123288.42,Credit,Fixed monthly support retainer from MAS Holdings
TXN0234,2026-03-01,Monthly Retainer — SLT-Mobitel,Retainer Fee,88220.35,Credit,Fixed monthly support retainer from SLT-Mobitel
TXN0250,2026-03-02,Fuel — Company Vehicle,Transport,-6376.19,Debit,Company vehicle fuel top-up
TXN0190,2026-03-03,Printer Ink & Paper Restock,Office Supplies,-3024.68,Debit,Petty cash expense
TXN0236,2026-03-03,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-10964.59,Debit,Petty cash fund replenishment
TXN0187,2026-03-04,Courier — Document Delivery,Logistics,-1362.88,Debit,Petty cash expense
TXN0220,2026-03-04,Grab / PickMe — Staff Transport,Transport,-4320.05,Debit,Petty cash expense
TXN0183,2026-03-05,Bank of Ceylon — Business Loan EMI,Loan Repayment,-75000,Debit,Monthly EMI for LKR 3.6M business loan
TXN0184,2026-03-05,Microsoft Sri Lanka — Office 365 Annual License,Software License,-180000,Debit,Annual Microsoft 365 Business license — 12 seats
TXN0207,2026-03-05,Photocopy & Binding — Reports,Office Supplies,-1563.19,Debit,Petty cash expense
TXN0256,2026-03-05,Dialog — Mobile Bills (Staff),Telephone,-15574.26,Debit,Vendor invoice payment
TXN0189,2026-03-06,Grab / PickMe — Staff Transport,Transport,-4486.72,Debit,Petty cash expense
TXN0209,2026-03-06,Staff Overtime Meal Allowance,Meals & Entertainment,-5464.46,Debit,Petty cash expense
TXN0197,2026-03-07,Grab / PickMe — Staff Transport,Transport,-4724.73,Debit,Petty cash expense
TXN0213,2026-03-07,Tea/Coffee & Office Refreshments,Petty Cash,-2797.57,Debit,Petty cash expense
TXN0246,2026-03-07,Fuel — Company Vehicle,Transport,-8840.77,Debit,Company vehicle fuel top-up
TXN0252,2026-03-07,Dialog — Mobile Bills (Staff),Telephone,-23456.4,Debit,Vendor invoice payment
TXN0199,2026-03-09,Printer Ink & Paper Restock,Office Supplies,-3645.38,Debit,Petty cash expense
TXN0219,2026-03-09,Tea/Coffee & Office Refreshments,Petty Cash,-1819.1,Debit,Petty cash expense
TXN0245,2026-03-09,Fuel — Company Vehicle,Transport,-7649.43,Debit,Company vehicle fuel top-up
TXN0178,2026-03-10,Lanka Electricity Board — Office Bill,Electricity Bill,-24169.69,Debit,Monthly electricity consumption
TXN0237,2026-03-10,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-6440.93,Debit,Petty cash fund replenishment
TXN0214,2026-03-11,Tea/Coffee & Office Refreshments,Petty Cash,-2072.99,Debit,Petty cash expense
TXN0218,2026-03-11,Courier — Document Delivery,Logistics,-1138.18,Debit,Petty cash expense
TXN0239,2026-03-11,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-22279.34,Debit,Petty cash fund replenishment
TXN0251,2026-03-11,Printcare PLC — Stationery Order,Office Supplies,-29287.73,Debit,Vendor invoice payment
TXN0172,2026-03-12,Invoice Payment — MAS Holdings,Sales Revenue,364652.77,Credit,Project milestone payment from MAS Holdings
TXN0179,2026-03-12,SLT Fiber — Office Broadband (1Gbps),Internet Bill,-9833.96,Debit,Monthly ISP subscription
TXN0215,2026-03-12,Printer Ink & Paper Restock,Office Supplies,-4441.28,Debit,Petty cash expense
TXN0238,2026-03-12,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-14324.72,Debit,Petty cash fund replenishment
TXN0243,2026-03-12,Fuel — Company Vehicle,Transport,-10967.0,Debit,Company vehicle fuel top-up
TXN0181,2026-03-13,Lanka Advertising Agency — Digital Campaign,Marketing,-63089.38,Debit,Online ads & social media campaign — month 3
TXN0208,2026-03-13,Grab / PickMe — Staff Transport,Transport,-2429.52,Debit,Petty cash expense
TXN0227,2026-03-13,Freelancer Payment — Ravindu Silva,Freelancer Fees,-84370.45,Debit,Contract work — Ravindu Silva
TXN0180,2026-03-14,CloudHosting.lk — Server & Hosting,Cloud & Software,-64698.85,Debit,Monthly cloud infrastructure
TXN0226,2026-03-14,Freelancer Payment — Malith De Silva,Freelancer Fees,-111413.69,Debit,Contract work — Malith De Silva
TXN0229,2026-03-14,Freelancer Payment — Malith De Silva,Freelancer Fees,-26011.16,Debit,Contract work — Malith De Silva
TXN0216,2026-03-16,Grab / PickMe — Staff Transport,Transport,-1462.71,Debit,Petty cash expense
TXN0224,2026-03-16,Freelancer Payment — Shanuki Rathnayake,Freelancer Fees,-117092.92,Debit,Contract work — Shanuki Rathnayake
TXN0225,2026-03-17,Freelancer Payment — Kasun Perera,Freelancer Fees,-111205.65,Debit,Contract work — Kasun Perera
TXN0228,2026-03-17,Freelancer Payment — Malith De Silva,Freelancer Fees,-117835.38,Debit,Contract work — Malith De Silva
TXN0253,2026-03-18,Keells Super — Office Pantry,Petty Cash,-3326.36,Debit,Vendor invoice payment
TXN0198,2026-03-19,Photocopy & Binding — Reports,Office Supplies,-1114.17,Debit,Petty cash expense
TXN0254,2026-03-19,Keells Super — Office Pantry,Petty Cash,-6517.17,Debit,Vendor invoice payment
TXN0182,2026-03-20,Inland Revenue — Quarterly Tax Payment Q1,Tax,-214277.82,Debit,Corporate income tax installment
TXN0193,2026-03-20,Courier — Document Delivery,Logistics,-1190.87,Debit,Petty cash expense
TXN0204,2026-03-20,Tea/Coffee & Office Refreshments,Petty Cash,-749.41,Debit,Petty cash expense
TXN0210,2026-03-20,Grab / PickMe — Staff Transport,Transport,-3786.91,Debit,Petty cash expense
TXN0200,2026-03-21,Tea/Coffee & Office Refreshments,Petty Cash,-2147.39,Debit,Petty cash expense
TXN0206,2026-03-21,Courier — Document Delivery,Logistics,-735.39,Debit,Petty cash expense
TXN0175,2026-03-22,Invoice Payment — Hatton National Bank,Sales Revenue,392837.52,Credit,Project milestone payment from Hatton National Bank
TXN0212,2026-03-22,Staff Overtime Meal Allowance,Meals & Entertainment,-4671.1,Debit,Petty cash expense
TXN0244,2026-03-22,Fuel — Company Vehicle,Transport,-5991.8,Debit,Company vehicle fuel top-up
TXN0223,2026-03-24,Freelancer Payment — Tharushi Jayasinghe,Freelancer Fees,-109288.64,Debit,Contract work — Tharushi Jayasinghe
TXN0248,2026-03-24,Fuel — Company Vehicle,Transport,-3124.58,Debit,Company vehicle fuel top-up
TXN0176,2026-03-25,Staff Salaries — 12 Employees,Salaries,-1047355.63,Debit,Monthly payroll run
TXN0249,2026-03-25,Fuel — Company Vehicle,Transport,-10708.67,Debit,Company vehicle fuel top-up
TXN0255,2026-03-25,Keells Super — Office Pantry,Petty Cash,-12913.01,Debit,Vendor invoice payment
TXN0174,2026-03-26,Invoice Payment — Sampath Bank,Sales Revenue,509333.53,Credit,Project milestone payment from Sampath Bank
TXN0188,2026-03-26,Tea/Coffee & Office Refreshments,Petty Cash,-550.48,Debit,Petty cash expense
TXN0196,2026-03-26,Printer Ink & Paper Restock,Office Supplies,-6644.02,Debit,Petty cash expense
TXN0202,2026-03-26,Staff Overtime Meal Allowance,Meals & Entertainment,-5012.55,Debit,Petty cash expense
TXN0240,2026-03-26,ATM Withdrawal — Petty Cash Fund,Cash Withdrawal,-24852.73,Debit,Petty cash fund replenishment
TXN0247,2026-03-26,Fuel — Company Vehicle,Transport,-11667.23,Debit,Company vehicle fuel top-up
TXN0173,2026-03-27,Invoice Payment — Local Startup A,Sales Revenue,261739.68,Credit,Project milestone payment from Local Startup A
TXN0191,2026-03-27,Courier — Document Delivery,Logistics,-807.89,Debit,Petty cash expense
TXN0192,2026-03-27,Grab / PickMe — Staff Transport,Transport,-4977.54,Debit,Petty cash expense
TXN0201,2026-03-27,Staff Overtime Meal Allowance,Meals & Entertainment,-2320.32,Debit,Petty cash expense
TXN0217,2026-03-27,Parking Fee — Colombo Office,Transport,-401.87,Debit,Petty cash expense
TXN0221,2026-03-27,Grab / PickMe — Staff Transport,Transport,-2008.91,Debit,Petty cash expense
